application,version,instrumentor,trial,function,nodes,arcs,maxIterations,initialMaxDepth,maxDepthIncrement,finalMaxDepth,initialTrianglesSize,triangleTime,numProbe,objectiveValue,totalIpTime,totalTriangleTime
schedule,1,bb-lemon,2,upgrade_process_prio,12,18,200,1,1,7,10,0,6,1.27011,0,0.004
schedule,1,bb-lemon,2,unblock_process,10,14,200,1,1,7,7,0,4,1.48148,0,0.004
schedule,1,bb-lemon,2,quantum_expire,10,15,200,1,1,7,15,0,6,2.73214,0,0
schedule,1,bb-lemon,2,block_process,10,15,200,1,1,7,15,0,6,2.73214,0,0
schedule,1,bb-lemon,2,new_process,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,bb-lemon,2,add_process,3,3,200,1,1,7,1,0,1,0.380952,0,0
schedule,1,bb-lemon,2,init_prio_queue,7,9,200,1,1,7,5,0,2,29.1667,0,0
schedule,1,bb-lemon,2,initialize,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,bb-lemon,2,main,45,71,200,1,1,7,63,0.012,22,55.2893,0,0.164
schedule,1,cc-lemon,3,new_ele,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,cc-lemon,3,new_list,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,cc-lemon,3,append_ele,3,3,200,1,1,7,1,0,1,0.380952,0,0
schedule,1,cc-lemon,3,free_ele,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,cc-lemon,3,finish_process,8,12,200,1,1,7,1,0,1,0.589286,0,0.004
schedule,1,cc-lemon,3,finish_all_processes,12,18,200,1,1,7,1,0,1,12.5833,0,0
schedule,1,cc-lemon,3,upgrade_process_prio,12,18,200,1,1,7,2,0,1,0.045977,0,0
schedule,1,cc-lemon,3,unblock_process,10,14,200,1,1,7,2,0,1,0.148148,0,0
schedule,1,cc-lemon,3,quantum_expire,10,15,200,1,1,7,2,0,1,0.214286,0,0
schedule,1,cc-lemon,3,block_process,10,15,200,1,1,7,2,0,1,0.214286,0,0
schedule,1,cc-lemon,3,new_process,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,cc-lemon,3,add_process,3,3,200,1,1,7,1,0,1,0.380952,0,0
schedule,1,cc-lemon,3,init_prio_queue,7,9,200,1,1,7,3,0,2,29.1667,0,0
schedule,1,cc-lemon,3,main,45,71,200,1,1,7,45,0.008,18,53.7327,0,0.048
schedule,1,bb-lemon,3,new_ele,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,bb-lemon,3,new_list,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,bb-lemon,3,append_ele,3,3,200,1,1,7,1,0,1,0.380952,0,0
schedule,1,bb-lemon,3,find_nth,6,8,200,1,1,7,2,0,2,0.96,0,0
schedule,1,bb-lemon,3,del_ele,3,3,200,1,1,7,1,0,1,0.5,0,0
schedule,1,bb-lemon,3,free_ele,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,bb-lemon,3,finish_process,8,12,200,1,1,7,10,0,5,2.51786,0,0.004
schedule,1,bb-lemon,3,finish_all_processes,12,18,200,1,1,7,13,0,6,74.9167,0,0.004
